file,total_distance,first_point_lat,first_point_lon,first_point_time,last_point_in_first_circle_lat,last_point_in_first_circle_lon,last_point_in_first_circle_time,first_point_in_second_circle_lat,first_point_in_second_circle_lon,first_point_in_second_circle_time,time_between_circles_hours,last_point_lat,last_point_lon,last_point_time,total_time_gap_hours,num_points
0966.track,48.43,30.977662,81.285812,2024-05-04 10:50:52,30.984924,81.270302,2024-05-04 11:21:20,31.101236,81.311291,2024-05-04 16:36:35,5.7619444444444445,30.977684,81.285976,2024-05-05 19:09:54,32.31722222222222,4559
0967.track,48.43,30.977662,81.285812,2024-05-04 10:50:52,30.984924,81.270302,2024-05-04 11:21:20,31.101236,81.311291,2024-05-04 16:36:35,5.7619444444444445,30.977684,81.285976,2024-05-05 19:09:54,32.31722222222222,4559
0970.track,47.0,30.9703195,81.2865863,2024-05-05 08:46:50,30.9849563,81.2702388,2024-05-05 09:51:12,31.1012989,81.3112395,2024-05-05 16:55:25,8.143055555555556,30.9703342,81.287238,2024-05-06 20:03:22,35.275555555555556,4097
0971.track,50.69,30.970386,81.286655,2024-05-05 08:47:31,30.984925,81.270289,2024-05-05 09:41:33,31.101261,81.311193,2024-05-05 16:55:33,8.133888888888889,30.970291,81.287128,2024-05-06 21:05:19,36.29666666666667,4781
0972.track,50.76,30.9703165,81.2866157,2024-05-05 08:47:04,30.9849409,81.2702864,2024-05-05 09:41:08,31.1012629,81.3112616,2024-05-05 16:34:20,7.7877777777777775,30.9703926,81.2865863,2024-05-06 20:43:43,35.94416666666667,4974
0973.track,46.35,30.970333,81.286501,2024-05-05 08:49:17,30.984937,81.270239,2024-05-05 09:40:56,31.101295,81.311189,2024-05-05 16:33:14,7.7325,30.970535,81.286438,2024-05-06 19:32:17,34.71666666666667,4316
0978.track,37.8,30.9788582,81.2818674,2024-05-06 09:16:01,30.9849416,81.2702433,2024-05-06 09:38:16,31.1013153,81.3111985,2024-05-06 16:22:05,7.101111111111111,31.0076854,81.3736429,2024-05-07 17:32:37,32.276666666666664,3888
0980.track,36.07,30.98099,81.276136,2024-05-07 11:23:19,30.981051,81.276046,2024-05-07 11:23:27,31.10132,81.311199,2024-05-07 18:35:48,7.208055555555555,30.977843,81.285903,2024-05-08 18:57:26,31.56861111111111,3340
0990.track,48.01,30.97831,81.283269,2024-05-11 08:35:52,30.984924,81.270319,2024-05-11 09:01:37,31.101337,81.311256,2024-05-11 18:06:33,9.511388888888888,30.978175,81.283791,2024-05-12 21:56:12,37.33888888888889,4549
0993.track,47.77,30.97842,81.282786,2024-05-12 06:36:45,30.984938,81.270289,2024-05-12 06:57:52,31.101265,81.311287,2024-05-12 11:50:25,5.227777777777778,30.97838,81.282803,2024-05-12 23:10:52,16.56861111111111,4490
0997.track,50.47,30.9780333,81.2845983,2024-05-13 13:36:41,30.9849744,81.2702622,2024-05-13 14:05:46,31.1013011,81.3112278,2024-05-13 19:31:56,5.920833333333333,30.9781723,81.2839715,2024-05-14 18:16:18,28.66027777777778,5195
0999.track,49.45,30.977631,81.285798,2024-05-14 09:13:42,30.984896,81.2703,2024-05-14 09:52:30,31.101248,81.311242,2024-05-14 17:21:26,8.12888888888889,30.976852,81.289693,2024-05-15 21:49:12,36.59166666666667,4630
1000.track,49.45,30.977631,81.285798,2024-05-14 09:13:42,30.984896,81.2703,2024-05-14 09:52:30,31.101248,81.311242,2024-05-14 17:21:26,8.12888888888889,30.976852,81.289693,2024-05-15 21:49:12,36.59166666666667,4630
1001.track,49.45,30.977631,81.285798,2024-05-14 09:13:42,30.984896,81.2703,2024-05-14 09:52:30,31.101248,81.311242,2024-05-14 17:21:26,8.12888888888889,30.976852,81.289693,2024-05-15 21:49:12,36.59166666666667,4630
1002.track,47.04,30.978252,81.283334,2024-05-14 09:21:57,30.98492,81.270323,2024-05-14 09:52:21,31.101306,81.311193,2024-05-14 17:23:35,8.027222222222223,30.97653,81.290145,2024-05-15 21:47:07,36.419444444444444,4467
1004.track,47.94,30.9784695,81.282468,2024-05-15 09:20:54,30.9849232,81.2702735,2024-05-15 09:50:55,31.1012864,81.3112341,2024-05-15 16:42:10,7.354444444444445,30.9718512,81.2835341,2024-05-16 22:51:06,37.50333333333333,5076
1005.track,52.07,30.9781817,81.2837318,2024-05-16 11:03:19,30.9849634,81.2702254,2024-05-16 11:32:21,31.1012897,81.3112618,2024-05-16 17:46:07,6.713333333333333,30.9752144,81.2878545,2024-05-17 21:31:33,34.470555555555556,4662
1007.track,46.28,30.9781278,81.283707,2024-05-16 11:58:07,30.9849597,81.2702434,2024-05-16 12:22:09,31.1013094,81.3112255,2024-05-16 17:19:58,5.364166666666667,30.9758269,81.2910669,2024-05-17 12:10:27,24.205555555555556,3714
1010.track,46.15,30.978232,81.283511,2024-05-17 09:54:48,30.98494,81.270287,2024-05-17 10:19:00,31.101187,81.311259,2024-05-17 17:14:58,7.336111111111111,30.978558,81.283777,2024-05-18 20:07:11,34.20638888888889,4372
1013.track,49.29,30.9782338,81.2837551,2024-05-17 13:38:31,30.9849262,81.2703291,2024-05-17 14:19:12,31.1013072,81.3112441,2024-05-17 20:54:11,7.261111111111111,30.9773765,81.2857218,2024-05-18 19:59:02,30.341944444444444,4666
1015.track,50.08,30.9787303,81.282068,2024-05-18 06:51:07,30.9849531,81.2702437,2024-05-18 07:15:34,31.1008092,81.3114808,2024-05-18 13:49:41,6.976111111111111,30.9785328,81.2834442,2024-05-19 19:44:18,36.88638888888889,4897
1017.track,49.47,30.9780971,81.2837203,2024-05-18 07:31:38,30.984957,81.2702517,2024-05-18 08:01:35,31.1013095,81.3112026,2024-05-18 14:58:56,7.455,30.9779742,81.2850344,2024-05-19 18:38:12,35.10944444444444,8608
1023.track,43.45,30.978765,81.28215,2024-05-19 08:52:28,30.984941,81.270264,2024-05-19 09:14:25,31.101328,81.311255,2024-05-19 16:15:04,7.376666666666667,30.97476,81.292063,2024-05-20 19:15:58,34.391666666666666,4130
1031.track,43.05,30.978459,81.2826667,2024-05-21 08:19:57,30.9849711,81.2702411,2024-05-21 08:37:47,31.1010663,81.3113032,2024-05-21 13:33:10,5.220277777777778,30.9592488,81.321337,2024-05-22 15:40:32,31.343055555555555,3770
1034.track,44.84,30.9789608,81.2832618,2024-05-21 09:16:36,30.9849092,81.2703011,2024-05-21 09:34:03,31.1010481,81.3113347,2024-05-21 13:38:22,4.362777777777778,30.9785751,81.2837701,2024-05-22 01:37:13,16.343611111111112,4079
1035.track,43.37,30.978257,81.283544,2024-05-21 10:12:38,30.984939,81.270245,2024-05-21 10:38:04,31.101254,81.311217,2024-05-21 17:13:10,7.0088888888888885,30.971408,81.286673,2024-05-22 22:39:57,36.45527777777778,4065
1037.track,47.51,30.978622,81.283736,2024-05-21 13:07:41,30.984958,81.270227,2024-05-21 13:34:34,31.101308,81.311257,2024-05-21 19:54:03,6.772777777777778,30.978298,81.28302,2024-05-22 19:26:38,30.315833333333334,4473
1039.track,51.6,30.978192,81.28371,2024-05-22 08:21:03,30.984936,81.270287,2024-05-22 08:44:20,31.101258,81.311212,2024-05-22 14:51:57,6.515,30.97504,81.288417,2024-05-23 19:26:04,35.08361111111111,4747
1042.track,47.21,30.9782885,81.2837444,2024-05-23 09:16:20,30.9849419,81.2702361,2024-05-23 09:44:56,31.1012853,81.3112516,2024-05-23 18:19:38,9.055,30.9776919,81.2858616,2024-05-24 23:12:18,37.93277777777778,4969
1049.track,49.98,30.9781679,81.2837692,2024-05-24 09:21:32,30.9849234,81.2702697,2024-05-24 09:51:56,31.1029323,81.3107405,2024-05-24 17:49:23,8.464166666666667,30.9781895,81.2837617,2024-05-25 23:10:38,37.818333333333335,5008
1050.track,48.07,30.978246,81.283617,2024-05-24 09:28:00,30.984952,81.270261,2024-05-24 09:52:05,31.102952,81.310828,2024-05-24 17:49:59,8.366388888888888,30.978077,81.284046,2024-05-25 23:11:55,37.731944444444444,4553
1061.track,48.11,30.978218,81.28369,2024-05-27 09:10:31,30.984915,81.270313,2024-05-27 09:44:59,31.10124,81.311217,2024-05-27 16:07:40,6.9525,30.976786,81.288282,2024-05-28 20:00:44,34.83694444444444,4551
1063.track,47.39,30.978193333333333,81.2837,2024-05-27 09:47:19,30.98493135008089,81.27030900284889,2024-05-27 10:10:06,31.10098283055977,81.31133736713264,2024-05-27 14:53:53,5.109444444444445,30.975620752849736,81.2869118843182,2024-05-28 16:51:18,31.066388888888888,4141
1064.track,46.89,30.9782383,81.2827283,2024-05-27 09:47:10,30.9849183,81.2702966,2024-05-27 10:10:05,31.1010284,81.311344,2024-05-27 14:53:53,5.111944444444444,30.9770267,81.2819633,2024-05-28 18:17:44,32.50944444444445,4321
1065.track,47.14,30.978336,81.283074,2024-05-27 10:08:38,30.984958,81.270248,2024-05-27 10:37:14,31.101313,81.311224,2024-05-27 19:04:17,8.9275,30.973979,81.288395,2024-05-28 23:09:02,37.00666666666667,4435
1066.track,45.78,30.978244,81.283585,2024-05-27 10:44:33,30.984947,81.270215,2024-05-27 11:06:19,31.101252,81.311222,2024-05-27 17:20:49,6.604444444444445,30.978248,81.283806,2024-05-28 19:57:58,33.22361111111111,4189
1070.track,51.14,30.968535,81.286243,2024-05-29 08:08:08,30.984968,81.27024,2024-05-29 09:11:13,31.10125,81.311288,2024-05-29 16:39:27,8.521944444444445,30.966361,81.28673,2024-05-30 23:31:09,39.38361111111111,4834
1072.track,48.06,30.979958,81.278994,2024-05-30 08:57:35,30.984944,81.270279,2024-05-30 09:15:55,31.101209,81.31129,2024-05-30 15:08:27,6.181111111111111,30.978681,81.282824,2024-05-31 19:37:57,34.672777777777775,4515
1077.track,54.34,30.978129263967276,81.28376827575266,2024-05-31 08:18:52,30.984902360139063,81.2702761324207,2024-05-31 08:54:00,31.102918990036894,81.31075591275587,2024-05-31 16:14:48,7.932222222222222,30.978194425339,81.28362745764679,2024-06-02 12:08:38,51.82944444444445,4979
1078.track,43.3,30.978129263967276,81.28376827575266,2024-05-31 08:18:52,30.984902360139063,81.2702761324207,2024-05-31 08:54:00,31.102918990036894,81.31075591275587,2024-05-31 16:14:48,7.932222222222222,31.001726171831123,81.36372237942874,2024-06-01 18:55:26,34.60944444444444,3970
1081.track,48.06,30.978229,81.283489,2024-06-01 07:14:14,30.984917,81.270294,2024-06-01 07:34:42,31.102931,81.310824,2024-06-01 13:13:11,5.9825,30.975301,81.285257,2024-06-02 19:26:19,36.201388888888886,4470
1083.track,48.73,30.9788645,81.2818761,2024-06-01 10:15:05,30.9849539,81.2703026,2024-06-01 10:38:05,31.1012719,81.3112619,2024-06-01 16:50:41,6.593333333333334,30.9789422,81.2818383,2024-06-02 20:15:28,34.006388888888885,4332
1084.track,51.08,30.9780437,81.2837184,2024-06-02 06:18:44,30.9831561,81.2688355,2024-06-02 06:44:50,31.1012421,81.311235,2024-06-02 13:13:58,6.920555555555556,30.9685325,81.2863388,2024-06-03 18:27:16,36.14222222222222,4835
1086.track,49.82,30.978423,81.282744,2024-06-02 08:46:53,30.984911,81.270289,2024-06-02 09:15:18,31.101329,81.31126,2024-06-02 16:36:15,7.822777777777778,30.967585,81.286562,2024-06-03 19:18:46,34.53138888888889,4681
1087.track,47.88,30.97823,81.283519,2024-06-02 10:11:17,30.984946,81.270221,2024-06-02 10:35:47,31.101274,81.311225,2024-06-02 18:10:47,7.991666666666666,30.977346,81.288473,2024-06-03 21:30:43,35.32388888888889,4515
1089.track,51.55,30.978275,81.283502,2024-06-02 12:13:15,30.98495,81.270271,2024-06-02 12:39:02,31.101248,81.311231,2024-06-02 19:54:47,7.692222222222222,30.974672,81.285189,2024-06-03 23:01:17,34.800555555555555,4809
1094.track,52.45,30.979218,81.281193,2024-06-03 08:01:52,30.984945,81.270251,2024-06-03 08:28:22,31.101377,81.311185,2024-06-03 17:47:41,9.76361111111111,30.971219,81.296762,2024-06-04 18:42:40,34.68,4565
1101.track,47.87,30.978465,81.283387,2024-06-04 07:46:02,30.984943,81.270282,2024-06-04 08:07:50,31.101215,81.311261,2024-06-04 14:39:17,6.8875,30.976176,81.285455,2024-06-05 22:25:53,38.66416666666667,4521
1103.track,47.25,30.981709,81.274742,2024-06-04 07:57:05,30.984955,81.270276,2024-06-04 08:07:17,31.101291,81.311287,2024-06-04 17:19:38,9.375833333333333,30.976602,81.290152,2024-06-05 23:41:10,39.734722222222224,4444
1104.track,50.32,30.9717973,81.2868449,2024-06-04 08:24:43,30.9848987,81.2703005,2024-06-04 09:06:49,31.1012648,81.3112259,2024-06-04 16:55:46,8.5175,30.9779681,81.2844301,2024-06-05 22:28:34,38.064166666666665,5240
1109.track,51.51,30.979221,81.281187,2024-06-05 08:05:07,30.984951,81.270268,2024-06-05 08:31:17,31.102919,81.310769,2024-06-05 16:29:18,8.403055555555556,30.969899,81.283901,2024-06-06 21:37:55,37.54666666666667,4793
1110.track,46.37,30.9786872,81.2834308,2024-06-05 08:15:07,30.9849642,81.2702451,2024-06-05 08:33:00,31.1012982,81.3112253,2024-06-05 12:15:45,4.010555555555555,30.978657,81.2834048,2024-06-05 20:14:46,11.994166666666667,4149
