file,track_name,start_lat,start_lon,start_alt,distance_km,begin_time,end_time,time_gap_hours,start_month,start_year
2562.kml,,30.97765,81.2859,4654.0,0.4328439787723533,2016-10-13 13:53:57,2017-09-05 06:06:11,7840.2,10,2016
2563.kml,,30.974276,81.284424,4667.0,0.2219452043599508,,,,,
2565.kml,,30.97125003922884,81.28541319270767,4633.817,0.31025115965809047,2021-05-02 16:13:02,2021-05-02 22:15:36,6.04,5,2021
2566.kml,,30.971333333333337,81.28624166666667,4622.1,0.27941271120927874,2023-05-29 18:37:00,2023-05-30 02:49:52,8.21,5,2023
2569.kml,,30.978517,81.282298,4670.077036,0.6696657011166518,2024-10-02 19:24:40,2024-10-03 02:32:22,7.13,10,2024
2575.kml,,30.978227781960484,81.283687152151,4684.0,0.5679041800896467,2022-07-28 22:28:34,2022-07-30 03:05:52,28.62,7,2022
2578.kml,,30.977584,81.285851,4672.0,0.42646973542330757,2023-06-07 13:30:13,2023-06-08 02:29:49,12.99,6,2023
2581.kml,,30.977453,81.287346,0.0,0.40916002100086646,,,,,
2583.kml,,30.977398,81.288422,0.0,0.43112437424742645,,,,,
2586.kml,,30.978157,81.283783,4674.0,0.5565146926754432,2017-08-19 02:12:32,2017-08-20 18:53:04,40.68,8,2017
2587.kml,,30.96908467,81.28620387,4615.2896,0.5282045252384943,2022-05-10 21:59:51,2022-05-10 22:23:58,0.4,5,2022
2588.kml,,30.96917101,81.28610339,4627.271,0.5195843939855374,2022-05-04 18:15:29,2022-05-07 02:47:52,56.54,5,2022
2589.kml,,30.96910502,81.28611515,4622.1304,0.5267624520571083,2022-05-09 14:01:38,2022-05-10 03:34:29,13.55,5,2022
2591.kml,,30.981776,81.274599,4675.0,1.4532323196032855,2023-07-13 21:11:21,2023-07-14 05:12:21,8.02,7,2023
2594.kml,,30.973461,81.284749,4658.267954,0.18918288425014676,2024-09-21 17:57:16,2024-09-23 03:32:54,33.59,9,2024
2596.kml,,30.967974,81.285413,4637.739145,0.6609731782318599,2023-06-08 12:38:21,2023-06-09 05:13:56,16.59,6,2023
